Func  Addr                              Data                              Rd     DataIn                             Mdelay w  r sel DataOut                           Data1                               Stall
ADDI- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SLTI- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SLTI- 11111111111111111111111111111111  11111111111111111111111111111111  01111  11111111111111111111111000000000   1      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    1
SLTIU 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
XORI- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
ORI-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
ANDI- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SLLI- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SRLI- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SRAI- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
ADDr- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SUBr- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SLLr- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SLTr- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SLTUr 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
XORr- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SRLr- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
SRAr- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
ORr-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
ANDr- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
BAD-- 00000000000011110000111100001000  10101010101010101010101010101010  01000  11111111100000000000000000001100   0      0  0 11  10101010101010101010101010101010  10101010101010101010101010101010    0
